"t","timedate","Ph","YTi","VAHU","TAHU","Ta","Ps","Vw","YTi_FF"
1,2023-07-01 00:00:00,0.0179443359375,19.4949998855591,0,24.0599994659424,17.7,1,0,19.5524997711182
2,2023-07-01 00:10:00,0.0120849609375,19.414999961853,0,24.0599994659424,17.7,1,0,19.6424999237061
3,2023-07-01 00:20:00,0.0179443359375,19.375,0,24.0599994659424,17.8,1,0,19.6324996948242
4,2023-07-01 00:30:00,0.0120849609375,19.3950004577637,0,24.0599994659424,17.8,1,0,19.3249998092651
5,2023-07-01 00:40:00,0.024169921875,19.5050001144409,0,24.1199998855591,17.9,1,0,19.4399995803833
6,2023-07-01 00:50:00,0.0120849609375,19.4674997329712,0,24.0599994659424,17.9,1,0,19.4075002670288
7,2023-07-01 01:00:00,0.0179443359375,19.4274997711182,0,24.0599994659424,17.8,2,0,19.3400001525879
8,2023-07-01 01:10:00,0.0120849609375,19.3275003433228,0,24.0599994659424,17.8,1,0,19.4950008392334
9,2023-07-01 01:20:00,0.0238037109375,19.2749996185303,0,24.0599994659424,17.8,1,0,19.3400001525879
10,2023-07-01 01:30:00,0.0120849609375,19.1799993515015,0,24.0599994659424,17.9,2,0,19.4075002670288
11,2023-07-01 01:40:00,0.0179443359375,19.2250003814697,0,24.0599994659424,17.9,1,0,19.1699991226196
12,2023-07-01 01:50:00,0.0120849609375,19.1700000762939,0,24.0599994659424,17.8,1,0,19.1624994277954
13,2023-07-01 02:00:00,0.0238037109375,19.1424999237061,0,24.0599994659424,17.8,1,0,19.1400003433228
14,2023-07-01 02:10:00,0.01171875,19.0950002670288,0,24.0599994659424,17.8,1,0,19.2224998474121
15,2023-07-01 02:20:00,0.018310546875,19.2174997329712,0,24.0599994659424,17.9,1,0,19.1849994659424
16,2023-07-01 02:30:00,0.0179443359375,19.0349998474121,0,24.0599994659424,17.8,1,0,19.1225004196167
17,2023-07-01 02:40:00,0.018310546875,19.2325000762939,0,24.0599994659424,17,7,0,19.1925001144409
18,2023-07-01 02:50:00,0.01171875,19.1499996185303,0,24.0599994659424,16.5,5,2.8,19.3025007247925
19,2023-07-01 03:00:00,0.0179443359375,19.1300001144409,0,23.9949998855591,16.1,3,3.5,19.1175003051758
20,2023-07-01 03:10:00,0.0120849609375,18.897500038147,0,23.9300003051758,15.9,2,3.7,18.9424991607666
21,2023-07-01 03:20:00,0.0179443359375,18.6325006484985,0,23.9300003051758,15.7,2,3.8,18.772500038147
22,2023-07-01 03:30:00,0.018310546875,18.2849998474121,0,23.9300003051758,15.6,1,2.9,18.414999961853
23,2023-07-01 03:40:00,0.0238037109375,18.0799999237061,0,23.9300003051758,15.6,1,2.6,18.4250001907349
24,2023-07-01 03:50:00,0.01171875,18.1925001144409,0,23.9300003051758,15.6,1,2.4,18.3675003051758
25,2023-07-01 04:00:00,0.018310546875,18.1850004196167,0,23.9300003051758,15.7,1,2.2,18.3550004959106
26,2023-07-01 04:10:00,0.01171875,18.2674999237061,0,23.9300003051758,15.8,1,2.4,18.2250003814697
27,2023-07-01 04:20:00,0.024169921875,18.210000038147,0,23.9300003051758,15.8,1,2.5,18.2875003814697
28,2023-07-01 04:30:00,0.0179443359375,18.1225004196167,0,23.9300003051758,15.8,1,2.5,18.3575000762939
29,2023-07-01 04:40:00,0.0179443359375,18.1274995803833,0,23.9300003051758,15.7,3,2.5,18.414999961853
30,2023-07-01 04:50:00,0.0120849609375,18.022500038147,0,23.9300003051758,15.7,5,2.3,18.2325000762939
31,2023-07-01 05:00:00,0.024169921875,17.9299993515015,0,23.9300003051758,15.7,4,2.5,18.3175001144409
32,2023-07-01 05:10:00,0.0120849609375,17.9349994659424,0,23.9300003051758,15.7,9,2.3,18.3600006103516
33,2023-07-01 05:20:00,0.0179443359375,17.897500038147,0,23.9300003051758,15.7,12,2.4,18.1824998855591
34,2023-07-01 05:30:00,0.01171875,18.1125001907349,0,23.8699998855591,15.6,13,3.1,18.1824998855591
35,2023-07-01 05:40:00,0.024169921875,18.0199995040894,0,23.8099994659424,15.7,22,2.4,18.1975002288818
36,2023-07-01 05:50:00,0.01171875,18.0924997329712,0,23.8099994659424,15.7,28,2.8,18.2325000762939
37,2023-07-01 06:00:00,0.018310546875,17.9300003051758,0,23.8099994659424,15.7,47,3.3,18.0749998092651
38,2023-07-01 06:10:00,0.0179443359375,17.9975004196167,0,23.8099994659424,15.6,51,3.3,18.0749998092651
39,2023-07-01 06:20:00,0.01171875,17.960000038147,0,23.8099994659424,15.7,55,2.4,18.0675001144409
40,2023-07-01 06:30:00,0.018310546875,17.8299999237061,0,23.8099994659424,15.7,64,2.7,18.0600004196167
41,2023-07-01 06:40:00,0.0179443359375,17.8150005340576,0,23.8099994659424,15.6,76,2.9,17.9674997329712
42,2023-07-01 06:50:00,0.0120849609375,17.7749996185303,0,23.8099994659424,15.6,79,3.9,17.9749994277954
43,2023-07-01 07:00:00,0.0179443359375,18.0124998092651,0,23.8099994659424,15.6,73,0.4,17.9924993515015
44,2023-07-01 07:10:00,0.0179443359375,17.8874998092651,0,23.8099994659424,15.6,77,0,17.9375
45,2023-07-01 07:20:00,0.0179443359375,17.6600008010864,0,23.7449998855591,15.6,86,0,17.8200006484985
46,2023-07-01 07:30:00,0.0179443359375,17.5774993896484,0,23.6800003051758,15.7,128,0,17.7424993515015
47,2023-07-01 07:40:00,0.0179443359375,17.6700000762939,0,23.6800003051758,15.7,141,0,17.6774997711182
48,2023-07-01 07:50:00,0.0120849609375,17.625,0,23.6800003051758,15.9,106,0,17.8899993896484
49,2023-07-01 08:00:00,0.0238037109375,17.6225004196167,0,23.6800003051758,15.9,151,0,17.8899993896484
50,2023-07-01 08:10:00,0.0120849609375,17.6824998855591,0,23.6800003051758,15.9,152,0,17.7825002670288
51,2023-07-01 08:20:00,0.0179443359375,17.6824998855591,0,23.6800003051758,15.9,147,0,18.0324993133545
52,2023-07-01 08:30:00,0.0120849609375,17.772500038147,0,23.6800003051758,16.2,224,0.7,18.0249996185303
53,2023-07-01 08:40:00,0.018310546875,17.7600002288818,0,23.6800003051758,16.3,165,3,17.9650001525879
54,2023-07-01 08:50:00,0.0120849609375,17.7200002670288,0,23.6800003051758,16.2,122,3.2,17.9300003051758
55,2023-07-01 09:00:00,0.0179443359375,17.6349992752075,0,23.6800003051758,16.2,179,3,17.789999961853
56,2023-07-01 09:10:00,0.0120849609375,17.6374998092651,0,23.6800003051758,16.3,189,2.7,17.8675003051758
57,2023-07-01 09:20:00,0.0238037109375,17.5875005722046,0,23.6800003051758,16.5,230,1.8,18.0325002670288
58,2023-07-01 09:30:00,0.01171875,17.6625003814697,0,23.6800003051758,16.6,187,0,17.7874994277954
59,2023-07-01 09:40:00,0.018310546875,17.7250003814697,0,23.6800003051758,16.5,137,0,17.8824996948242
60,2023-07-01 09:50:00,0.01171875,17.772500038147,0,23.6800003051758,16.7,188,0,17.9250001907349
61,2023-07-01 10:00:00,0.0245361328125,17.8850002288818,0,23.6800003051758,16.9,86,0,17.9875001907349
